,seq_depth,n_samples,fold,metric,method name,test statistic name,sample size,number of groups,test statistic,p-value,number of permutations
1784,50000,4,3,FT-SVD,PERMANOVA,pseudo-F,465,2,15.230698886379319,0.5,1
1785,150000,6,8,FT-SVD,PERMANOVA,pseudo-F,488,2,14.793741843182008,0.5,1
1786,10000,6,5,Jaccard,PERMANOVA,pseudo-F,487,2,4.096465889452613,0.5,1
1787,50000,6,17,CTF,PERMANOVA,pseudo-F,488,2,9.683628387574812,0.5,1
1788,150000,5,6,Jaccard,PERMANOVA,pseudo-F,482,2,4.207837344364345,0.5,1
1789,50000,5,16,FT-SVD,PERMANOVA,pseudo-F,483,2,16.054596020363316,0.5,1
1790,50000,4,5,Bray-Curtis,PERMANOVA,pseudo-F,464,2,5.770694682602065,0.5,1
1791,20000,3,15,Bray-Curtis,PERMANOVA,pseudo-F,406,2,4.141651122397855,0.5,1
1792,150000,5,3,Bray-Curtis,PERMANOVA,pseudo-F,482,2,6.465273526429872,0.5,1
1793,20000,3,13,CTF,PERMANOVA,pseudo-F,407,2,2.499655952858349,0.5,1
1794,150000,4,2,Jaccard,PERMANOVA,pseudo-F,464,2,3.697782171453922,0.5,1
1795,100000,4,15,CTF,PERMANOVA,pseudo-F,465,2,9.027470813097628,0.5,1
1796,50000,5,10,Bray-Curtis,PERMANOVA,pseudo-F,482,2,5.7433807062887805,0.5,1
1797,10000,2,13,CTF,PERMANOVA,pseudo-F,292,2,1.8104234936542236,0.5,1
1798,50000,5,9,CTF,PERMANOVA,pseudo-F,483,2,12.113904944328084,0.5,1
1799,150000,5,3,FT-SVD,PERMANOVA,pseudo-F,483,2,17.7034851118996,0.5,1
1800,150000,6,7,CTF,PERMANOVA,pseudo-F,488,2,11.809931126828355,0.5,1
1801,50000,3,1,CTF,PERMANOVA,pseudo-F,407,2,7.972554116120363,0.5,1
1802,10000,4,19,CTF,PERMANOVA,pseudo-F,465,2,3.178548810826597,0.5,1
1803,100000,6,5,CTF,PERMANOVA,pseudo-F,488,2,12.756197762898065,0.5,1
1804,100000,3,3,Bray-Curtis,PERMANOVA,pseudo-F,406,2,4.625537314587566,0.5,1
1805,50000,2,20,Bray-Curtis,PERMANOVA,pseudo-F,292,2,3.0611547979309535,0.5,1
1806,150000,2,12,Bray-Curtis,PERMANOVA,pseudo-F,291,2,2.3170269276054523,0.5,1
1807,100000,5,18,FT-SVD,PERMANOVA,pseudo-F,483,2,17.517066192995266,0.5,1
1808,100000,3,15,FT-SVD,PERMANOVA,pseudo-F,407,2,10.36695125900559,0.5,1
1809,20000,5,19,CTF,PERMANOVA,pseudo-F,483,2,6.589793628855249,0.5,1
