,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,-0.004092108524037519,-0.133019584371316,-0.09572034395053719,-0.19354041520298204,-0.13422193741961252,-0.14276882088098453,-0.13355654556605612,-0.09260561984266968,-0.0914471602426079,-0.07382950807637201
2,-0.006470572881291714,-0.06935340214618368,-0.09702267780880836,-0.18616108535748954,-0.10049670018762535,-0.08636699467528497,-0.13631180841611612,-0.09592611798311146,-0.07554592083663314,-0.2728325485378045
3,-0.005297643216853221,-0.07192254947976084,-0.05258384053344689,-0.09268527747225708,-0.08512584920645438,-0.12334230863467033,-0.1689062928719005,-0.15442814840467967,-0.15782449269591536,-0.11916170959111216
4,-0.011010152271360152,-0.15191499293555388,-0.06526330552385362,-0.18351810520606215,-0.1288751312189722,-0.12679503515951995,-0.15529730357028693,-0.17325606301644103,-0.16889569258720072,-0.14744077219024865
5,-0.007075177631648888,-0.06403995854411981,-0.1087319631439021,-0.14735184620555897,-0.13803848736322988,-0.12039778747295427,-0.14847601215031192,-0.1023827783550959,-0.11714472730890768,-0.11387413385901812
6,-0.008863241536596789,-0.09446024429768496,-0.08701357263893827,-0.16150784348623248,-0.0688090014934164,-0.14650066187239608,-0.13414622174475688,-0.16591916623594272,-0.21228145129411868,-0.17484020596488237
7,-0.008687188866773887,-0.1491355121230613,-0.27480545673624945,-0.20189942940114114,-0.0883182971992238,-0.09850915968007223,-0.11523743388668972,-0.057883002067500744,-0.08516590322642581,-0.12014390890133342
8,-0.004531428643706814,-0.16459061580200074,-0.0722986088287223,-0.07910811067123191,-0.15806279983794758,-0.09512306763111589,-0.1147098780366771,-0.13930226911415988,-0.1025226596443829,-0.0880052290208122
9,-0.014844780822374837,-0.0838060440909758,-0.16020173299463059,-0.2141597172919072,-0.13097825607567115,-0.1432897433867213,-0.22967044142441018,-0.18944514374226462,-0.10306913418712593,-0.12329255071386025
10,-0.01388101692303989,-0.11079805409997268,-0.0704295126676282,-0.14441964404605523,-0.0817131587989739,-0.1382530121691241,-0.10962335322228967,-0.1520573375560188,-0.10246260093248183,-0.08730478473515335
11,-0.008866018477722948,-0.10455956027729951,-0.0817023570307509,-0.1369266565426961,-0.17596797530345598,-0.0768169011469253,-0.08772176454483116,-0.08279521754835328,-0.12546999626136413,-0.13083217768279454
12,-0.013358810259578746,-0.09698470198598108,-0.09687929896245051,-0.15577835953155494,-0.2054160528743234,-0.1338740204274984,-0.15661131413808804,-0.10221786270375732,-0.1347354261474525,-0.14680330401371133
13,-0.009591866664051096,-0.1762191528584216,-0.1091286278476824,-0.13636552592104145,-0.09779770968361867,-0.09059660595816066,-0.1259508660428601,-0.08557010205371629,-0.10542328472756424,-0.10063727018980084
14,-0.011904788211462902,-0.10619327441440074,-0.0683961413292904,-0.09976758443560296,-0.11613225813324535,-0.12291412609697416,-0.22524024897618422,-0.09924768879434565,-0.17152549144562723,-0.22486751030331642
15,-0.011085514554479703,-0.12482909556849409,-0.05939970619026025,-0.14455608416351096,-0.10764102753167193,-0.10938248805881501,-0.09395909517797008,-0.1915926654880984,-0.14462465821987913,-0.08628259073041167
16,-0.016905501621645058,-0.10801077927507818,-0.08867963755556252,-0.14074265879132986,-0.12351007429960248,-0.12803168463435854,-0.09611665093193067,-0.12829180198061163,-0.07639146097867155,-0.09665927151416098
17,-0.010450182284165832,-0.09041555388658318,-0.0771274391975354,-0.11916738096909563,-0.10029843871401556,-0.12333314895598324,-0.13969608274487055,-0.18262395449098978,-0.15906403170476602,-0.11758911151942186
18,-0.006031958540058113,-0.13859465643437963,-0.06194697232868962,-0.12008542073651984,-0.15118798928931843,-0.14099257070074978,-0.1465735005506681,-0.11997871070507449,-0.16725517369839493,-0.10916535369644587
19,-0.015009130114521874,-0.10516765638286807,-0.0959328131466044,-0.1533260372593428,-0.12978715771042215,-0.15387637794546194,-0.09727201735355973,-0.1723898562102375,-0.2663964784006436,-0.1608383674598195
20,-0.009001015943966406,-0.09470181449985415,-0.13934142182779952,-0.12247703000179322,-0.09114721093622591,-0.0975104908197435,-0.1379538811707206,-0.17609649005658934,-0.1609952184846133,-0.23183692788589183
21,-0.009099896195528867,-0.09096901051798478,-0.0779298610745851,-0.18542846698696258,-0.13911857604182565,-0.1131174843046463,-0.09121767683122473,-0.08043461301957788,-0.08259817069468989,-0.1371505605092287
22,-0.003372371659020379,-0.1391701326202528,-0.18306689375758034,-0.15875981992484167,-0.12174535514218365,-0.10937874281240556,-0.12642212748354442,-0.1139722946996784,-0.14073519786853517,-0.12268295727195144
23,-0.005600437461859009,-0.1417686082755949,-0.08094056692804696,-0.16691970471570716,-0.09360719297973263,-0.1519496668347633,-0.18498545948993717,-0.15722016412769557,-0.14394675975449123,-0.14766176772285244
24,-0.0015562713390326888,-0.1343680044451978,-0.07966497626927027,-0.11138976286315194,-0.07294837822837241,-0.13171133619281972,-0.16438041817780746,-0.07004570420799361,-0.12330830885116284,-0.21937131492888873
25,-0.009983656924889672,-0.09113743409454234,-0.0783062243361623,-0.16927714628337065,-0.09482898709624177,-0.09301784882801489,-0.19118074436896948,-0.09547902162821154,-0.18883461979888505,-0.24088468336218272
26,-0.0029431313632897194,-0.17699366403658567,-0.10281259209274207,-0.12138660796540335,-0.07610149707512903,-0.10893710515565136,-0.145038387988083,-0.06584488408115896,-0.08850866761211718,-0.08463083135805372
27,-0.012204486164760997,-0.13134828895378692,-0.08289253972006061,-0.14041816075753255,-0.15856976902500564,-0.12040916066589658,-0.14871361235013603,-0.09342844988581689,-0.12818760278543162,-0.14645733587241305
28,-0.012669712991117965,-0.10513148211112511,-0.07348302236209414,-0.11190415436849133,-0.08272870330255966,-0.1403997117713609,-0.11480601198121554,-0.06902595429427283,-0.10191122105294514,-0.12531155535925187
29,-0.01023677448344551,-0.08948603754521933,-0.12709064464496045,-0.1017708608357013,-0.08228956570678614,-0.14184625881292412,-0.1493342454434432,-0.12364990056989811,-0.07736246553851278,-0.08019778490589946
30,-0.011252051632213433,-0.08271073705788301,-0.08626527921272542,-0.13038838817894738,-0.15544118251164374,-0.14105842396507473,-0.11437211971936279,-0.14182815810778693,-0.1468295597650484,-0.12120613596281538
31,-0.007868193712910143,-0.16364695540839946,-0.07693322088508281,-0.2024834641842892,-0.11470814654054062,-0.18632485218874884,-0.14047528069338977,-0.08828314331857046,-0.11735090245087432,-0.20396603069681363
32,-0.013651099734486305,-0.15003913956492432,-0.11879997058298342,-0.09683486973312272,-0.11786344730644416,-0.1206293435352781,-0.15184648264623357,-0.10909105579148792,-0.1806875557149168,-0.18404539566355904
33,-0.006710749855976417,-0.06899842200495798,-0.07560533280997239,-0.10787227853152714,-0.16176482876841192,-0.11019023488882973,-0.14943692527822816,-0.13322190419410496,-0.16301432728104004,-0.17507933117158747
34,-0.011527194565764898,-0.26109672211404855,-0.08790052537553716,-0.14888276038737303,-0.12376292539648492,-0.19003565682013135,-0.2624279470352566,-0.07799344100441585,-0.07654275234024088,-0.1360112727713798
