"","nsample2","nsample3","nsample4","nsample5","nsample6","nsample7","nsample8","nsample9"
"1",0.734015345268542,0.782608695652174,0.757033248081841,0.877237851662404,0.89769820971867,0.833759590792839,0.843989769820972,0.841432225063939
"2",0.457800511508951,0.654731457800511,0.767263427109974,0.757033248081841,0.797953964194373,0.826086956521739,0.841432225063939,0.838874680306905
"3",0.616368286445013,0.698209718670077,0.774936061381074,0.813299232736573,0.797953964194373,0.872122762148338,0.805626598465473,0.828644501278772
"4",0.636828644501279,0.762148337595908,0.874680306905371,0.818414322250639,0.836317135549872,0.823529411764706,0.846547314578005,0.833759590792839
"5",0.703324808184143,0.808184143222506,0.744245524296675,0.739130434782609,0.846547314578005,0.800511508951407,0.805626598465473,0.864450127877238
"6",0.80306905370844,0.762148337595908,0.790281329923274,0.772378516624041,0.764705882352941,0.841432225063939,0.792838874680307,0.805626598465473
"7",0.667519181585678,0.79539641943734,0.764705882352941,0.849104859335038,0.790281329923274,0.867007672634271,0.813299232736573,0.808184143222506
"8",0.406649616368286,0.59846547314578,0.790281329923274,0.833759590792839,0.805626598465473,0.826086956521739,0.826086956521739,0.81074168797954
"9",0.29923273657289,0.833759590792839,0.81074168797954,0.823529411764706,0.805626598465473,0.831202046035806,0.792838874680307,0.843989769820972
"10",0.800511508951407,0.718670076726343,0.80306905370844,0.746803069053708,0.815856777493606,0.79539641943734,0.843989769820972,0.831202046035806
"11",0.797953964194373,0.731457800511509,0.836317135549872,0.836317135549872,0.813299232736573,0.777493606138107,0.859335038363171,0.872122762148338
"12",0.861892583120205,0.749360613810742,0.736572890025575,0.849104859335038,0.815856777493606,0.813299232736573,0.815856777493606,0.843989769820972
"13",0.754475703324808,0.790281329923274,0.846547314578005,0.831202046035806,0.879795396419437,0.800511508951407,0.872122762148338,0.823529411764706
"14",0.836317135549872,0.759590792838875,0.895140664961637,0.854219948849105,0.762148337595908,0.797953964194373,0.843989769820972,0.867007672634271
"15",0.460358056265985,0.782608695652174,0.80306905370844,0.797953964194373,0.785166240409207,0.815856777493606,0.861892583120205,0.836317135549872
"16",0.498721227621483,0.757033248081841,0.744245524296675,0.820971867007673,0.800511508951407,0.818414322250639,0.849104859335038,0.879795396419437
"17",0.296675191815857,0.749360613810742,0.744245524296675,0.759590792838875,0.843989769820972,0.815856777493606,0.861892583120205,0.887468030690537
"18",0.347826086956522,0.828644501278772,0.792838874680307,0.782608695652174,0.841432225063939,0.836317135549872,0.867007672634271,0.838874680306905
"19",0.710997442455243,0.764705882352941,0.815856777493606,0.854219948849105,0.831202046035806,0.854219948849105,0.841432225063939,0.820971867007673
"20",0.698209718670077,0.728900255754476,0.705882352941177,0.856777493606138,0.836317135549872,0.843989769820972,0.805626598465473,0.820971867007673
"21",0.595907928388747,0.823529411764706,0.726342710997442,0.826086956521739,0.823529411764706,0.815856777493606,0.846547314578005,0.836317135549872
