"","nsample2","nsample3","nsample4","nsample5","nsample6","nsample7","nsample8","nsample9","nsample10"
"76",0.4125,0.4875,0.65,0.66,0.6,0.63,0.65,0.7,0.57
"77",0.6425,0.79,0.62,0.845,0.7675,0.655,0.7125,0.7775,0.79
"78",0.59,0.73,0.77,0.6925,0.59,0.65,0.7,0.785,0.635
"79",0.7025,0.56,0.625,0.67,0.745,0.7025,0.7,0.7425,0.745
"80",0.69,0.655,0.645,0.635,0.57,0.7,0.655,0.6675,0.725
"81",0.705,0.615,0.475,0.7675,0.82,0.7125,0.7775,0.675,0.77
"82",0.8925,0.75,0.795,0.76,0.7125,0.705,0.755,0.755,0.71
"83",0.6575,0.75,0.775,0.7175,0.695,0.73,0.77,0.66,0.7475
"84",0.7325,0.645,0.5,0.565,0.515,0.69,0.61,0.7,0.72
"85",0.58,0.7275,0.63,0.6925,0.61,0.625,0.74,0.68,0.685
"86",0.3625,0.635,0.365,0.565,0.63,0.56,0.6475,0.7625,0.725
"87",0.765,0.61,0.695,0.51,0.5125,0.63,0.775,0.745,0.65
"88",0.37,0.7,0.7675,0.52,0.8075,0.625,0.745,0.69,0.7025
"89",0.755,0.6425,0.7575,0.6925,0.64,0.75,0.58,0.71,0.74
"90",0.625,0.6225,0.625,0.64,0.6825,0.6425,0.785,0.805,0.7625
"91",0.79,0.595,0.735,0.48,0.815,0.805,0.675,0.67,0.73
"92",0.51,0.67,0.665,0.675,0.695,0.77,0.695,0.6675,0.7125
"93",0.4525,0.82,0.725,0.7575,0.7,0.765,0.6525,0.685,0.7525
"94",0.865,0.725,0.815,0.715,0.635,0.785,0.5875,0.71,0.645
"95",0.62,0.7325,0.75,0.5025,0.715,0.705,0.59,0.605,0.72
"96",0.305,0.53,0.6575,0.64,0.5975,0.7625,0.7,0.675,0.645
"97",0.745,0.7175,0.895,0.72,0.67,0.865,0.665,0.66,0.635
"98",0.745,0.735,0.785,0.73,0.805,0.72,0.7125,0.7025,0.6275
"99",0.6,0.725,0.575,0.7,0.6325,0.6525,0.695,0.62,0.72
"100",0.59,0.77,0.8175,0.77,0.7825,0.725,0.7225,0.675,0.725
