"","nsample2","nsample3","nsample4","nsample5","nsample6","nsample7","nsample8","nsample9","nsample10"
"76",0.3,0.43,0.6275,0.665,0.585,0.58,0.6575,0.67,0.59
"77",0.5875,0.725,0.6175,0.835,0.765,0.645,0.655,0.78,0.7625
"78",0.455,0.745,0.775,0.76,0.58,0.6425,0.66,0.775,0.64
"79",0.68,0.66,0.615,0.74,0.75,0.675,0.695,0.69,0.7725
"80",0.71,0.715,0.5775,0.685,0.6075,0.7375,0.64,0.7025,0.71
"81",0.61,0.5225,0.505,0.785,0.775,0.715,0.78,0.715,0.78
"82",0.7975,0.8225,0.7325,0.7475,0.7275,0.745,0.745,0.755,0.615
"83",0.49,0.7575,0.755,0.7475,0.68,0.715,0.775,0.6225,0.755
"84",0.7675,0.5425,0.4775,0.5425,0.4875,0.67,0.6,0.7025,0.68
"85",0.615,0.68,0.66,0.695,0.635,0.62,0.745,0.73,0.6725
"86",0.54,0.65,0.3725,0.5775,0.665,0.575,0.6475,0.7675,0.71
"87",0.6125,0.725,0.7,0.5575,0.4825,0.6275,0.74,0.7375,0.67
"88",0.355,0.6475,0.7675,0.44,0.7875,0.665,0.76,0.6825,0.7075
"89",0.715,0.6175,0.7375,0.6575,0.59,0.79,0.6025,0.69,0.735
"90",0.8,0.625,0.645,0.64,0.685,0.65,0.7925,0.815,0.7225
"91",0.735,0.61,0.705,0.4375,0.7775,0.81,0.625,0.63,0.735
"92",0.5175,0.59,0.72,0.665,0.7,0.78,0.6675,0.68,0.685
"93",0.5075,0.835,0.665,0.765,0.6525,0.745,0.67,0.6775,0.79
"94",0.815,0.725,0.825,0.635,0.6075,0.77,0.65,0.705,0.65
"95",0.5975,0.7275,0.71,0.4975,0.715,0.7,0.67,0.57,0.74
"96",0.36,0.585,0.6675,0.68,0.59,0.75,0.7,0.64,0.655
"97",0.7175,0.7575,0.865,0.7025,0.695,0.825,0.665,0.675,0.615
"98",0.72,0.705,0.78,0.71,0.81,0.7375,0.6875,0.6725,0.645
"99",0.77,0.6075,0.5725,0.655,0.6675,0.665,0.65,0.65,0.74
"100",0.66,0.6825,0.805,0.785,0.79,0.725,0.7125,0.7,0.6925
