"","nsample2","nsample3","nsample4","nsample5","nsample6","nsample7","nsample8","nsample9","nsample10"
"82",0.945,0.695,0.79,0.655,1,0.935,0.795,0.78,0.795
"83",0.535,0.82,0.92,0.665,0.895,0.65,0.515,0.795,0.865
"84",0.86,0.65,0.675,0.58,0.77,0.77,0.665,0.675,0.775
"85",0.615,0.695,0.765,0.58,0.94,0.615,0.84,1,0.64
"86",0.66,0.625,0.595,0.795,0.87,0.775,0.7,0.665,0.61
"87",0.715,0.615,0.605,0.695,0.82,0.77,1,0.635,0.55
"88",0.81,0.755,0.76,0.58,0.585,0.79,0.84,0.82,0.845
"89",0.56,0.74,0.69,0.705,0.665,0.75,0.67,0.57,0.86
"90",0.645,0.745,0.565,0.54,0.82,0.895,0.745,0.655,0.99
"91",0.74,0.71,0.675,0.77,0.56,0.96,0.85,0.825,1
"92",0.8,0.64,0.55,0.73,0.955,0.685,1,0.66,0.825
"93",0.675,0.615,0.57,0.69,0.57,0.545,0.575,0.97,0.74
"94",0.85,0.67,0.56,0.72,0.78,0.575,0.64,0.755,0.765
"95",0.83,0.69,0.855,0.885,0.825,0.85,0.635,0.585,0.665
"96",0.77,0.65,0.645,0.7,0.58,0.92,0.745,0.575,0.69
"97",0.545,0.5,0.895,0.645,0.64,0.99,0.615,0.71,0.89
"98",0.76,0.8,0.695,0.875,0.76,0.88,0.775,0.835,0.71
"99",0.625,0.665,0.645,0.48,0.86,0.74,1,0.61,0.885
"100",0.56,0.84,0.58,0.62,0.72,0.535,0.995,0.82,0.705
