"","nsample2","nsample3","nsample4","nsample5","nsample6","nsample7","nsample8","nsample9","nsample10"
"81",0.515,0.595,0.405,0.225,0.5975,0.4175,0.595,0.665,0.675
"82",0.475,0.44,0.495,0.19,0.51,0.515,0.525,0.405,0.545
"83",0.265,0.505,0.6,0.43,0.77,0.36,0.52,0.515,0.59
"84",0.5075,0.35,0.31,0.525,0.465,0.36,0.475,0.48,0.395
"85",0.555,0.37,0.395,0.525,0.73,0.39,0.155,0.465,0.45
"86",0.385,0.485,0.4,0.535,0.46,0.4775,0.31,0.435,0.75
"87",0.43,0.44,0.66,0.615,0.115,0.46,0.52,0.4,0.68
"88",0.195,0.385,0.325,0.62,0.4225,0.615,0.55,0.525,0.42
"89",0.28,0.185,0.37,0.33,0.285,0.68,0.625,0.615,0.375
"90",0.41,0.32,0.26,0.555,0.565,0.445,0.415,0.33,0.365
"91",0.68,0.415,0.335,0.395,0.35,0.595,0.5675,0.505,0.255
"92",0.49,0.425,0.6,0.535,0.34,0.38,0.525,0.325,0.405
"93",0.51,0.485,0.44,0.465,0.295,0.51,0.555,0.56,0.43
"94",0.43,0.365,0.405,0.36,0.57,0.4,0.285,0.49,0.445
"95",0.3675,0.5,0.42,0.29,0.34,0.595,0.6,0.57,0.2325
"96",0.185,0.485,0.31,0.455,0.655,0.285,0.625,0.455,0.42
"97",0.575,0.45,0.69,0.285,0.525,0.275,0.265,0.805,0.675
"98",0.56,0.27,0.59,0.93,0.425,0.605,0.43,0.32,0.39
"99",0.1175,0.58,0.615,0.23,0.505,0.745,0.48,0.53,0.255
"100",0.425,0.66,0.165,0.34,0.395,0.49,0.525,0.37,0.66
