"","nsample2","nsample3","nsample4","nsample5","nsample6","nsample7","nsample8","nsample9","nsample10"
"81",0.71,0.74,0.65,0.875,0.765,0.765,0.81,0.8,0.825
"82",0.795,0.705,0.715,0.775,0.81,0.82,0.825,0.82,0.75
"83",0.315,0.675,0.705,0.77,0.76,0.795,0.825,0.75,0.795
"84",0.59,0.645,0.635,0.725,0.64,0.715,0.715,0.77,0.73
"85",0.71,0.78,0.775,0.78,0.72,0.74,0.805,0.785,0.785
"86",0.095,0.66,0.63,0.765,0.765,0.685,0.74,0.845,0.765
"87",0.575,0.64,0.785,0.69,0.78,0.745,0.85,0.78,0.795
"88",0.14,0.655,0.79,0.67,0.795,0.76,0.755,0.815,0.78
"89",0.575,0.645,0.825,0.785,0.76,0.825,0.76,0.84,0.82
"90",0.205,0.695,0.72,0.71,0.805,0.77,0.84,0.84,0.83
"91",0.75,0.66,0.805,0.695,0.83,0.79,0.76,0.72,0.795
"92",0.44,0.7,0.72,0.715,0.745,0.78,0.79,0.81,0.805
"93",0.515,0.7,0.675,0.79,0.685,0.8,0.84,0.735,0.815
"94",0.86,0.695,0.79,0.73,0.86,0.785,0.75,0.75,0.785
"95",0.585,0.6,0.805,0.7,0.745,0.795,0.755,0.75,0.805
"96",0.12,0.765,0.705,0.85,0.73,0.785,0.77,0.79,0.735
"97",0.71,0.81,0.845,0.685,0.735,0.77,0.71,0.73,0.73
"98",0.59,0.77,0.765,0.77,0.86,0.795,0.73,0.735,0.745
"99",0.755,0.69,0.72,0.775,0.7,0.725,0.815,0.8,0.78
"100",0.54,0.7,0.835,0.805,0.87,0.81,0.815,0.795,0.805
