"","Component 1","Component 2","Component 3"
"UniFrac",0.135431301013832,0.131059614915438,0.848853451336675
"Weighted UniFrac",0.672460668807718,0.613006658576696,0.759117077585492
"Bray-Curtis",0.0068764257675979,0.613006658576696,0.491043458176887
"Jaccard",0.00584887900071188,0.52299095141153,0.430368048981323
"TEMPTED",NA,1.56903982076176e-05,NA
"CTF",0.02948557412965,NA,NA
